PlantPart,Sample_ID
Fruit,ERR4099794
Fruit,ERR4099795
Fruit,ERR4099796
Fruit,ERR4099797
Fruit,ERR4099798
Fruit,ERR4099799
Leaf,ERR4099800
Leaf,ERR4099801
Leaf,ERR4099802
Flower,ERR4099803
Flower,ERR4099804
Flower,ERR4099805
Leaf,SRR1776865
Root,SRR1777719
Leaf,SRR1781514
Leaf,SRR3406929
Leaf,SRR3404020
Leaf,SRR3404021
Leaf,SRR3404389
Leaf,SRR3404390
Leaf,SRR3404569
Leaf,SRR8446741
Leaf,SRR8446742
Stem,SRR8816469
Stem,SRR8816470
Fruit,SRR8816471
Fruit,SRR8816472
Fruit,SRR8816473
Fruit,SRR8816474
Fruit,SRR8816475
Fruit,SRR8816476
Fruit,SRR8816477
Fruit,SRR8816478
Fruit,SRR8816480
Fruit,SRR8816481
Fruit,SRR8816482
Fruit,SRR8816483
Leaf,SRR8816484
Leaf,SRR8816485
Root,SRR8816486
Root,SRR8816487
Flower,SRR8816488
Flower,SRR8816489
Flower,SRR8816490
Leaf,SRR8816491
Root,SRR8816492
Stem,SRR8816493
